,frame_number,gender,emotion,year,movie_name
395,43,woman,sad,2016,ki_&_ka
396,114,man,happy,2016,ki_&_ka
397,6,man,angry,2016,ki_&_ka
398,5,man,sad,2016,ki_&_ka
400,23,man,happy,2016,ki_&_ka
401,23,man,happy,2016,ki_&_ka
403,25,man,sad,2016,ki_&_ka
404,98,woman,sad,2009,karma_aur_holi
405,62,man,happy,2009,karma_aur_holi
406,30,woman,sad,2009,karma_aur_holi
407,54,man,sad,2009,karma_aur_holi
408,116,woman,sad,2009,karma_aur_holi
409,81,man,happy,2009,karma_aur_holi
410,100,woman,sad,2009,karma_aur_holi
411,115,man,angry,2009,karma_aur_holi
412,97,woman,angry,2009,karma_aur_holi
413,114,man,sad,2009,karma_aur_holi
416,62,woman,happy,2013,raanjhanaa
417,62,man,fear,2013,raanjhanaa
418,60,man,happy,2013,raanjhanaa
419,118,woman,happy,2013,raanjhanaa
420,111,man,happy,2013,raanjhanaa
422,3,woman,happy,2013,raanjhanaa
423,154,man,happy,2013,raanjhanaa
426,125,man,sad,2013,raanjhanaa
427,120,woman,sad,2013,raanjhanaa
428,108,man,angry,2013,raanjhanaa
429,155,man,happy,2013,raanjhanaa
430,2,woman,sad,2013,raanjhanaa
431,158,man,happy,2013,raanjhanaa
432,107,man,sad,2013,raanjhanaa
433,121,woman,sad,2013,raanjhanaa
434,38,man,angry,2013,raanjhanaa
435,142,woman,sad,2013,raanjhanaa
436,67,woman,sad,2013,raanjhanaa
438,135,woman,sad,2013,raanjhanaa
439,109,man,happy,2013,raanjhanaa
441,29,man,happy,2013,raanjhanaa
442,110,man,angry,2013,raanjhanaa
443,129,man,sad,2013,raanjhanaa
444,136,woman,sad,2013,raanjhanaa
446,0,woman,sad,2013,raanjhanaa
448,134,woman,angry,2013,raanjhanaa
449,153,man,happy,2013,raanjhanaa
452,157,woman,happy,2013,raanjhanaa
453,157,woman,sad,2013,raanjhanaa
454,126,woman,happy,2013,raanjhanaa
458,130,woman,sad,2013,raanjhanaa
459,112,woman,happy,2013,raanjhanaa
461,79,woman,sad,2013,raanjhanaa
462,75,woman,happy,2013,raanjhanaa
463,14,man,sad,2015,talvar
464,51,man,angry,2015,talvar
466,62,woman,angry,2015,talvar
467,118,man,disgust,2015,talvar
468,118,man,surprise,2015,talvar
469,58,woman,surprise,2015,talvar
470,11,man,sad,2015,talvar
471,88,man,happy,2015,talvar
472,15,man,sad,2015,talvar
473,76,man,fear,2015,talvar
474,76,man,fear,2015,talvar
475,86,man,fear,2015,talvar
477,55,man,sad,2015,talvar
478,104,woman,angry,2015,talvar
479,52,man,angry,2015,talvar
480,150,woman,sad,2015,talvar
481,53,man,happy,2015,talvar
482,63,man,sad,2015,talvar
483,69,man,angry,2015,talvar
484,67,man,angry,2015,talvar
485,54,man,angry,2015,talvar
486,89,man,happy,2015,talvar
487,116,man,angry,2015,talvar
488,33,man,sad,2015,talvar
489,74,man,sad,2015,talvar
490,151,man,sad,2015,talvar
491,83,woman,happy,2015,talvar
493,46,woman,angry,2015,talvar
494,65,man,angry,2015,talvar
495,119,man,happy,2015,talvar
497,47,woman,angry,2015,talvar
499,126,woman,fear,2015,talvar
500,126,man,angry,2015,talvar
504,114,man,sad,2015,talvar
505,152,woman,angry,2015,talvar
506,57,woman,sad,2015,talvar
507,124,man,sad,2015,talvar
508,64,man,angry,2015,talvar
509,122,man,angry,2010,jhootha_hi_sahi
510,122,man,sad,2010,jhootha_hi_sahi
512,61,woman,happy,2010,jhootha_hi_sahi
513,71,woman,angry,2010,jhootha_hi_sahi
515,125,man,sad,2010,jhootha_hi_sahi
516,120,man,sad,2010,jhootha_hi_sahi
517,108,man,sad,2010,jhootha_hi_sahi
518,55,man,surprise,2010,jhootha_hi_sahi
519,35,man,happy,2010,jhootha_hi_sahi
520,52,man,happy,2010,jhootha_hi_sahi
521,121,man,angry,2010,jhootha_hi_sahi
522,121,man,sad,2010,jhootha_hi_sahi
523,53,woman,angry,2010,jhootha_hi_sahi
526,103,man,happy,2010,jhootha_hi_sahi
527,54,man,happy,2010,jhootha_hi_sahi
528,82,man,sad,2010,jhootha_hi_sahi
529,24,man,angry,2010,jhootha_hi_sahi
530,17,woman,angry,2010,jhootha_hi_sahi
532,119,woman,angry,2010,jhootha_hi_sahi
533,119,man,fear,2010,jhootha_hi_sahi
534,50,man,angry,2010,jhootha_hi_sahi
535,50,man,happy,2010,jhootha_hi_sahi
536,123,man,happy,2010,jhootha_hi_sahi
537,39,man,angry,2010,jhootha_hi_sahi
538,47,man,sad,2010,jhootha_hi_sahi
539,99,man,sad,2010,jhootha_hi_sahi
540,78,man,happy,2010,jhootha_hi_sahi
541,117,woman,happy,2010,jhootha_hi_sahi
543,21,man,angry,2010,jhootha_hi_sahi
544,114,woman,fear,2010,jhootha_hi_sahi
545,73,man,surprise,2010,jhootha_hi_sahi
546,124,man,happy,2010,jhootha_hi_sahi
547,64,man,sad,2010,jhootha_hi_sahi
548,5,man,happy,2010,jhootha_hi_sahi
549,112,woman,angry,2010,jhootha_hi_sahi
550,23,man,angry,2010,jhootha_hi_sahi
551,18,man,happy,2010,jhootha_hi_sahi
552,14,man,angry,2011,thank_you
553,51,woman,sad,2011,thank_you
554,60,man,angry,2011,thank_you
555,118,man,sad,2011,thank_you
556,132,man,sad,2011,thank_you
557,132,man,sad,2011,thank_you
558,15,man,happy,2011,thank_you
560,108,woman,fear,2011,thank_you
561,91,man,fear,2011,thank_you
564,107,man,surprise,2011,thank_you
566,26,man,sad,2011,thank_you
567,103,man,angry,2011,thank_you
568,89,man,happy,2011,thank_you
569,116,man,happy,2011,thank_you
571,13,man,angry,2011,thank_you
572,141,man,happy,2011,thank_you
573,119,man,angry,2011,thank_you
574,137,woman,sad,2011,thank_you
575,115,man,happy,2011,thank_you
576,117,man,happy,2011,thank_you
577,114,man,surprise,2011,thank_you
578,112,man,happy,2011,thank_you
580,44,man,sad,2014,riyasat
581,30,man,fear,2014,riyasat
582,45,woman,happy,2014,riyasat
583,52,man,angry,2014,riyasat
586,32,man,sad,2014,riyasat
587,48,man,angry,2014,riyasat
589,57,man,fear,2014,riyasat
590,31,man,sad,2014,riyasat
592,249,man,sad,2015,katti_batti
593,94,woman,surprise,2015,katti_batti
594,58,man,sad,2015,katti_batti
596,131,man,fear,2015,katti_batti
